question,Doc,Topic,Probability
How to measure the cost/value of an Asset in the Financial Statement,1445,14,0.369567334651947
60% Downpayment on house?,1446,0,0.02857142873108387
What sort of tax treatment does a charitable micro-lending loan incur?,1447,18,0.9364269971847534
Why don't banks give access to all your transaction activity?,1448,11,0.651606559753418
How do brokerage firms make money?,1449,22,0.9218369722366333
Why do people buy stocks that pay no dividend?,1450,25,0.38382381200790405
Is building a corporation a good option?,1451,26,0.9218178391456604
What are some way to transfer money from Hong Kong to India on a monthly basis? ,1452,22,0.9218348860740662
Can this year's free extension-to-pay be filed electronically? IRS Form 1127,1453,18,0.5623598694801331
How do I notify the IRS of a new member to an LLC?,1454,18,0.855256974697113
Why credit cards are sold through banks and not from Visa or MasterCard directly ,1455,20,0.4938625991344452
"In a competitive market, why is movie theater popcorn expensive?",1456,25,0.946417510509491
Why isn't money spent on necessities deductible from your taxes?,1457,22,0.9364373683929443
My account's been labeled as “day trader” and I got a big margin call. What should I do? What trades can I place in the blocked period?,1458,22,0.4935935437679291
using credit card and paying back quickly,1459,27,0.5877910852432251
Can I do periodic rollovers from my low-perfoming 401k to an IRA?,1460,34,0.9218160510063171
"As an American working in the UK, do I have to pay taxes on foreign income?",1461,22,0.7671859264373779
How can I find out what category a merchant falls into for my credit card's cashback program? [duplicate],1462,20,0.5334327816963196
Gift card fraud: To whom to report? How to recover funds? Is the party which issued me the card liable?,1463,20,0.720535933971405
How does on-demand insurance company Trov prevent insurance fraud or high prices?,1464,29,0.397257536649704
Personal Tax Deduction for written work to a recognized 501c3,1465,18,0.4450310170650482
I'm currently unemployed and have been offered a contract position. Do I need to incorporate myself? How do I do it?,1466,6,0.7275946140289307
What are the consequences of not respecting a notice period when leaving a job?,1467,1,0.5635957717895508
Working in Iran for foreign company,1468,22,0.855315089225769
What is the rationale behind brokerages establishing tiers/levels for options trading?,1469,26,0.9464431405067444
How can I estimate the value of private stock behind employee stock options?,1470,25,0.4429594576358795
Can capital expenses for volunteer purposes be deducted from income?,1471,18,0.9464489221572876
understand taxes when geting money from a project built long time ago plus my full time job,1472,22,0.35577303171157837
Filing 1040-NR when I have been outside the US the entire year?,1473,18,0.8984941840171814
Is buying a lottery ticket considered an investment? ,1474,14,0.539399266242981
Is there any way to pay online in a country with no international banking system,1475,22,0.7264804244041443
How to incentivize a real-estate broker to find me a cheap house,1476,7,0.482094407081604
How do I deal with a mistaken attempt to collect a debt from me that is owed by someone else?,1477,13,0.9218220710754395
How can online trading platforms be trustworthly? ,1478,25,0.8984574675559998
Why do banks encourage me to use online bill payment?,1479,27,0.5088266730308533
Form as LLC or S Corp to reduce tax liability,1480,18,0.898499071598053
Good at investing - how to turn this into a job?,1481,26,0.9218130111694336
Alternatives to Intuit's PayTrust service for online bill viewing and bill payment?,1482,22,0.4961307942867279
Is Stock Trading legal for a student on F-1 Visa in USA? [duplicate],1483,25,0.8985001444816589
Does a restaurant have to pay tax on a discount?,1484,27,0.590758204460144
Can my brother fix his credit?,1485,20,0.8552981615066528
Should I pay half a large balance this month before I get my CC statement?,1486,0,0.4526611566543579
Money put down on home,1487,22,0.3029839098453522
"Is working on a W2 basis, with benefits paid to me, a good idea?",1488,22,0.6867117881774902
Saving for retirement without employer sponsored plan,1489,18,0.5545485615730286
Why will the bank only loan us 80% of the value of our fully paid for home?,1490,27,0.633551836013794
Lend money at a rate linked to the prime rate,1491,34,0.725264310836792
Is Bogleheadism (index fund investing) dead?,1492,19,0.8984860777854919
Is it legal to receive/send “gifts” of Non-Trivial Amounts to a “friend”?,1493,22,0.7743543386459351
Why do credit cards have minimum limits?,1494,20,0.9218324422836304
What mix of credit lines and loans is optimal for my credit score?,1495,20,0.8091480135917664
Taxation from variations in currency,1496,28,0.5530930161476135
Strategies for saving and investing in multiple foreign currencies,1497,22,0.7489803433418274
How do I calculate tax liability on the turnover of a small vendor?,1498,1,0.7050937414169312
Would there be tax implications if I used AirBnB as opposed to just renting out a unit normally?,1499,18,0.6297038197517395
What to do if a state and federal refund is denied direct deposit?,1500,22,0.490603506565094
Are there any e-commerce taxation rules in India?,1501,26,0.43699052929878235
"Are reimbursements from company taxable,and do I need to deduct them?",1502,18,0.5400588512420654
Rental Property - have someone look for you,1503,7,0.748140811920166
How do I get a Tax Exemption Certificate for export from the US if I am in another country?,1504,18,0.5512110590934753
Free/open source Unix software that pulls info from all my banks/brokers/credit cards? ,1505,20,0.7217205762863159
Creating S-Corp: Should I Name My Wife as a Director/Shareholder?,1506,17,0.588164210319519
Why do credit cards require a minimum annual household income?,1507,20,0.554161548614502
Why is the total 401(k) contribution limit (employee + employer) so high?,1508,18,0.6200762391090393
How does revenue shared with someone else go into my tax return in Canada?,1509,18,0.4019865393638611
Should I take contributions out of my Roth IRA to live off of?,1510,27,0.9218116402626038
Which banks have cash-deposit machines in Germany?,1511,11,0.8552801609039307
Withdraw USD from PayPal without conversion to my home currency of EUR?,1512,22,0.5149680972099304
How can I determine which stores are regarded as supermarkets for a rewards credit card?,1513,20,0.946446418762207
When should I walk away from my mortgage?,1514,7,0.8984630703926086
Multi-Account Budgeting Tools/Accounts/Services,1515,22,0.6988469958305359
Adding a 180 day expiration to checks,1516,25,0.3803704082965851
Consumer Loans vs Mortgages,1517,27,0.48110896348953247
One company asks for picture of my debit card,1518,20,0.6414133906364441
How can I save money on a gym / fitness membership? New Year's Resolution is to get in shape - but on the cheap!,1519,22,0.7240380048751831
Emptying a Roth IRA account,1520,22,0.8552635908126831
How does stock dilution work in relation to share volume?,1521,25,0.5812798142433167
"US citizen sometimes residing in spain, wanting to offer consulting services in Europe, TAXES?",1522,8,0.40297600626945496
How to evaluate stocks? e.g. Whether some stock is cheap or expensive?,1523,25,0.7349626421928406
Which US services allow small/micro-payments using a credit card? ,1524,20,0.6437378525733948
Buying a home with down payment from family as a “loan”,1525,27,0.7522777915000916
How does refinancing work?,1526,22,0.855255126953125
"Why don't some places require a credit card receipt signature, and some do?",1527,20,0.7767852544784546
"What ETF best tracks the price of gasoline, or else crude oil?",1528,29,0.780011773109436
Any extra fees charged by passive stock and bond ETFs on top of the standard fees?,1529,13,0.6194822788238525
Should the bank cover money lost due to an unsuccessful transfer?,1530,22,0.946445107460022
What's the fuss about Credit Score / History?,1531,20,0.9218251705169678
Can I use FOREX markets to exchange cash?,1532,27,0.4624682068824768
How to graph the market year over year? for example Dow Jones Index,1533,25,0.533393144607544
I'm only spending roughly half of what I earn; should I spend more?,1534,22,0.9364219307899475
How to find cheaper alternatives to a traditional home telephone line?,1535,26,0.3467385768890381
Does cash back apply to online payments with credit card,1536,20,0.44510596990585327
Are there any banks in Europe that I can have an account without being in that country?,1537,22,0.437298059463501
Is there a way to monitor when executives or leaders in a company sell off large holdings?,1538,17,0.591925859451294
Why is the breakdown of a loan repayment into principal and interest of any importance?,1539,27,0.946439802646637
What are the reasons to get more than one credit card?,1540,20,0.8985028862953186
Buy and sell stock at specific earnings,1541,25,0.5807666778564453
Why must identification be provided when purchasing a money order?,1542,25,0.5499531626701355
What are the financial advantages of living in Switzerland?,1543,27,0.5498917698860168
Purpose of having good credit when you are well-off?,1544,20,0.351654589176178
How to pay with cash when car shopping?,1545,27,0.9218311309814453
"Best way to start investing, for a young person just starting their career?",1546,28,0.7298902869224548
Foreign company incorporated in US and W9,1547,17,0.898468554019928
What special considerations need to be made for a US citizen who wishes to purchase a house in Canada?,1548,22,0.9537296891212463
What effect would a company delisting from the LSE to move to china have on shareholders?,1549,17,0.9464531540870667
"How long should I keep my tax documents, and why?",1550,18,0.558776319026947
Why are typical 401(k) plan fund choices so awful?,1551,19,0.6929956674575806
Making higher payments on primary residence mortgage or rental?,1552,18,0.47479093074798584
What to do when a job offer is made but with a salary less than what was asked for?,1553,22,0.454732209444046
Stock market vs. baseball card trading analogy,1554,25,0.6814625263214111
EIN for personal LLC: Is this an S-Corp?,1555,0,0.02857142873108387
What are institutional investors?,1556,6,0.8553106188774109
Typically how many digits are in a cheque number? ,1557,6,0.9364253878593445
How can I detect potential fraud in a company before investing in them?,1558,17,0.9364211559295654
Are non-residents or foreigners permitted to buy or own shares of UK companies?,1559,10,0.37344256043434143
What are the fundamental levels that makes a Stock Ideal? (either to sell or buy),1560,25,0.9537329077720642
What is the added advantage of a broker being a member of NFA in addition to IIROC,1561,27,0.5133940577507019
Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?,1562,20,0.7268095016479492
tax deduction for 30k loan,1563,18,0.6004818677902222
How much life insurance do I need? ,1564,27,0.8985019326210022
Is there a catch to offers of $100 when opening up a new checking account?,1565,22,0.7375157475471497
Is it possible for US retail forex traders to trade exotic currencies?,1566,25,0.44156813621520996
What are online payment options with no chargeback protection?,1567,26,0.43829795718193054
Shorting: What if you can't find lenders?,1568,17,0.530353844165802
Should I get an accountant for my taxes?,1569,22,0.8552517890930176
What's the difference between TaxAct and TurboTax?,1570,7,0.855270504951477
Do I need to pay tax on the amount of savings I have in the bank?,1571,22,0.6242712736129761
When are stock trade fees deducted?,1572,25,0.47101885080337524
Where to categorize crypto-currencies,1573,12,0.7481461763381958
How smart is it really to take out a loan right now?,1574,27,0.7071205377578735
"In a house with shared ownership, if one person moves out and the other assumes mortgage, how do we determine who owns what share in the end?",1575,15,0.5780736207962036
Why do financial institutions charge so much to convert currency?,1576,14,0.6069446206092834
What is meant by “unexpected expenses” in my 401k plan?,1577,18,0.5278670787811279
Stopping Payment on a Check--How Long Does it Take?,1578,27,0.745964765548706
Earning salary from USA remotely from New Zealand?,1579,22,0.8552821278572083
Live in Oregon and work in Washington: Do I need to file Oregon state taxes?,1580,22,0.662280261516571
How smart is it to really be 100% debt free?,1581,13,0.31038135290145874
Can't the account information on my checks be easily used for fraud?,1582,8,0.35936105251312256
How to share income after marriage and kids?,1583,15,0.5472713708877563
Is the gross amount of US debt dangerous for the small investor?,1584,22,0.39133769273757935
What are some time tested passive income streams?,1585,18,0.9218140840530396
How secure is my 403(b)? Can its assets be “raided”?,1586,29,0.8984604477882385
How is an ETF's NAV determined?,1587,17,0.7481430172920227
Stop paying VAT on digital sales when earnings are under £81k,1588,10,0.2981860637664795
"Why do some people go through contortions to avoid paying taxes, yet spend money on expensive financial advice, high-interest loans, etc?",1589,27,0.37088173627853394
Is housing provided by a university as employer reported on 1040?,1590,8,0.4945087730884552
Capital Gains in an S Corp,1591,0,0.02857142873108387
"Why do stocks go up? Is it due to companies performing well, or what else? [duplicate]",1592,17,0.8388029932975769
How did historical high tax rates work in practice? ,1593,22,0.2770691514015198
Does the rise in ACA premiums affect employer-provided health insurance premiums?,1594,18,0.6883578896522522
What caused this drop?,1595,25,0.8553081154823303
How do markets “factor in” a future event?,1596,25,0.9218287467956543
"In USA, what circumstances (if any) make it illegal for a homeless person to “rent” an address?",1597,7,0.5231890082359314
Can the Philadelphia Center City District Tax be deducted on my Schedule-A?,1598,18,0.8985040783882141
How does unemployment insurance work?,1599,27,0.5491482019424438
How to secure one's effort when working on a contract?,1600,6,0.48742517828941345
Is accident insurance worth it for my kids who play sports,1601,27,0.7516998648643494
In what ways can a public company ask for money?,1602,17,0.686409056186676
Why is it not a requirement for companies to pay dividends?,1603,1,0.44423577189445496
MasterCard won't disclose who leaked my credit card details,1604,20,0.936427891254425
What steps are required to transfer real estate into a LLC?,1605,22,0.898494303226471
Do rental car agencies sell their cars at a time when it is risky for the purchaser?,1606,14,0.42235374450683594
How Should I Go About Buying a Car? (College Student),1607,27,0.5619981288909912
Opening American credit cards while residing in the UK,1608,20,0.9364314675331116
What dictates the costs of creating an options contract? (Commissions breakdown),1609,31,0.26257288455963135
Smart to buy a house in college?,1610,0,0.02857142873108387
Non Resident Alien Spouse Treated As Resident - Self Employment Income,1611,18,0.9464367032051086
What to do when paying for an empty office space?,1612,27,0.9218088984489441
Should I buy or lease a car given that its not a super luxury car and I only drive 15 miles/d on avg?,1613,27,0.6824809908866882
Tax on insurance payment due to car deemed as total loss?,1614,18,0.6639788746833801
How much share do the venture capitalists want if they invest in our website? ,1615,27,0.3634762465953827
Tax question about selling a car,1616,18,0.23506979644298553
Working for recruiter on W-2 vs. working for client on 1099?,1617,22,0.9218195080757141
How are derivatives different from bucket shops?,1618,7,0.9218118190765381
Can one be non-resident alien in the US without being a resident anywhere else?,1619,18,0.9218226075172424
Unusual real estate market with seemingly huge rental returns,1620,18,0.640728771686554
Monthly money transfers from US to Puerto Rico,1621,22,0.9218159317970276
Why do people buy insurance even if they have the means to overcome the loss?,1622,17,0.6350378394126892
What ways are there for us to earn a little extra side money?,1623,22,0.9464513659477234
401(k) lump sum distribution limited because of highly compensated employees?,1624,18,0.7278491854667664
What would a stock be worth if dividends did not exist? [duplicate],1625,25,0.6213613748550415
Valuing a company and comparing to share price,1626,25,0.3981040418148041
How does 1099 work with my own company,1627,17,0.43137580156326294
Safe and cheap way to send money from Canada to South America ,1628,22,0.9218227863311768
What are the tax liabilities for an international transaction?,1629,20,0.5180450677871704
"Is it worth incorporating, when working in Canada as a contractor for an employer in the US?",1630,8,0.8984725475311279
Will getting a second credit card help my credit rating?,1631,20,0.806350588798523
"Buy a parking spot and rent it out, or invest savings in an interest-bearing account?",1632,25,0.4019233286380768
Can I prove having savings without giving out the account number?,1633,11,0.25001242756843567
Is it possible as a non-Indian citizen to create an Indian bank account (denominated in rupees) that can exchange & repatriate its funds?,1634,10,0.20272298157215118
What should I be aware of as a young investor?,1635,6,0.8984763026237488
What factors should I consider in picking a bond?,1636,31,0.6613633036613464
Do credit checks affect credit scores?,1637,20,0.936445415019989
Why are the banks and their customers in the United States still using checks? [duplicate],1638,27,0.5736991763114929
Why did the Swiss National Bank fix the EUR/CHF exchange rate at CHF 1.20?,1639,34,0.855275571346283
Are the sellers selling pre-IPO shares over these websites legitimate or fake?,1640,15,0.6540396809577942
Is gold really an investment or just a hedge against inflation?,1641,19,0.6938927173614502
What is the basis of an asset that is never depreciated?,1642,29,0.9218034148216248
Physical Checks - Mailing,1643,27,0.5967839360237122
To rebalance or not to rebalance,1644,0,0.02857142873108387
What is the interest rate online brokerages paying out tied to?,1645,22,0.5335920453071594
Selling on eBay without PayPal?,1646,25,0.748147189617157
Scam or Real: A woman from Facebook apparently needs my bank account to send money,1647,22,0.9636207222938538
What benefits are there to having a Pension (Retirement Account) In Ireland?,1648,32,0.4345742464065552
Why do 1099 forms take so long for brokerages to prepare and send out?,1649,18,0.7417631149291992
How do I fold side-income into our budget so my husband doesn't know? ,1650,31,0.5223797559738159
Does exposure to financials in corporate bond funds make sense?,1651,7,0.375273197889328
How do you determine the dividend payout date for Mutual Funds?,1652,19,0.3946610987186432
Should I remodel or buy a bigger house?,1653,25,0.48941871523857117
What should I do with my money?,1654,22,0.7481475472450256
Do I have to pay tax on money I earn as a tutor?,1655,22,0.6561518311500549
How do I get into investing in stocks?,1656,25,0.8553184270858765
Health insurance deduction on schedule C if also full time employee with w2?,1657,18,0.9364355802536011
Tax for Basket with Coupon containing two different VAT rates,1658,34,0.3430235683917999
"Why do Americans have to file taxes, even if their only source of income is from a regular job?",1659,18,0.5796758532524109
Does reading financial statements (quarterly or annual reports) really help investing?,1660,14,0.4554813504219055
Why is routing number called ABA/ABN number?,1661,6,0.6494150757789612
What to do with an old building to get money,1662,5,0.37315961718559265
First concrete steps for retirement planning when one partner is resistant,1663,14,0.39268532395362854
"Is it practical to take actual delivery on a futures contract, and what is the process?",1664,6,0.7848376631736755
Should I sell my individual stocks and buy a mutual fund,1665,25,0.9218380451202393
"A guy scammed me, but he gave me a bank account number & routing number. Can I use that to take out what he owes me?",1666,22,0.27814310789108276
How to do thorough research into a company to better understand whether to buy stock?,1667,25,0.9537283182144165
How to reduce mortgage rate with low income but high assets,1668,34,0.35568106174468994
What evidence do I need to declare tutoring income on my income tax?,1669,18,0.9537244439125061
Effect of Job Change on In-Progress Mortgage Application,1670,7,0.732937216758728
Is it possible to create a self-managed superannuation fund to act as a mortage offset? (Australia),1671,16,0.5240297317504883
Should I invest in a Health Insurance +1 policy from my Employer?,1672,18,0.6693444848060608
What's the minimum revenue an LLC must make in Florida or NY states?,1673,22,0.8048485517501831
Is buying or selling goods for gold or silver considered taxable?,1674,25,0.5177889466285706
What factors would affect the stock price of a sports team?,1675,25,0.593160092830658
Why so much noise about USA's credit rating being lowered?,1676,20,0.6019955277442932
How can I minimize the impact of the HST?,1677,18,0.8984163403511047
How is a relocation fee of more than 40k taxed?,1678,18,0.85526442527771
Do the tax consequences make it worth it for me to hold ESPP stock?,1679,25,0.7260725498199463
Taxes for citizen of EU country #1 living in EU country #2 and working from home for non-EU country #3?,1680,27,0.7028552293777466
How does sales tax holiday change tax?,1681,18,0.4381328821182251
How can one go short in Uber?,1682,17,0.8553184866905212
Will credit card payment from abroad be suspicious as taxable income?,1683,20,0.42693769931793213
How can I improve my auto insurance score?,1684,27,0.47813931107521057
Computer vendor not honoring warranty. What's the next step?,1685,15,0.5905494689941406
Why haven't there been personal finance apps or softwares that use regression modeling or A.I.?,1686,0,0.4761616587638855
"Ordering from Canada, charged in CAD or USD?",1687,13,0.7481434941291809
Are credit histories/scores international?,1688,20,0.8553022742271423
Any problem if I continuously spend my credit card more than normal people?,1689,22,0.49459943175315857
Is there a rule of thumb to help “Sanity check” insurance costs?,1690,27,0.5515995621681213
Using a Roth IRA instead of a college savings account,1691,27,0.4344901144504547
How long does it take for money to transfer into a mastercard?,1692,22,0.49295467138290405
Should I stockpile nickels?,1693,0,0.02857142873108387
Should I pay more than 20% down on a home?,1694,27,0.8553184270858765
What are the tax implications of lending to my own LLC?,1695,18,0.8984879851341248
Double-entry bookkeeping: How to account for non-monetary taxable benefits received from employer?,1696,22,0.41396304965019226
Moving 401k balance into self-directed IRA,1697,17,0.8984637260437012
Working remotely from Canada for a US company. How to get paid?,1698,22,0.5273320078849792
New York State - NY Tax on Foreign Sourced Income for NY Non-Resident,1699,18,0.8553098440170288
Am I responsible for an annual fee on a credit card I never picked up?,1700,20,0.7990557551383972
Medical Bill Consolidation,1701,27,0.7480862140655518
If I deposit money as cash does it count as direct deposit?,1702,22,0.7720794677734375
Do I have to explain the source of *all* income on my taxes?,1703,18,0.5008887052536011
"Buying a building with two flats, can I rent one out and still get a residential mortgage?",1704,7,0.9537302851676941
Which Benjamin Graham book should I read first: Security Analysis or Intelligent Investor?,1705,14,0.525728166103363
What exactly is a wealth management platform?,1706,0,0.9218093156814575
What do I need to be aware of if I choose to resell property early (in Alberta)?,1707,14,0.9364328384399414
Is there lesser or no tax on assets?,1708,29,0.5709266066551208
Shifting income to 401k,1709,18,0.8552544116973877
Does this plan make any sense for early 20s investments?,1710,18,0.4555968940258026
How is someone tax exempt at Walmart in Canada?,1711,18,0.8552872538566589
If something is coming into my account will it be debit or credit in my account?,1712,22,0.4912317991256714
How much is university projected to cost in Canada in 18 years?,1713,27,0.9364302754402161
How can I improve my credit score if I am not paying bills or rent?,1714,20,0.49834486842155457
Checks not cashed,1715,27,0.8553168177604675
Changing Bank Account Number regularly to reduce fraud,1716,6,0.4013977646827698
Is it wise to invest small amounts of money short-term?,1717,22,0.6230924129486084
Car Insurance - Black box has broken and insurance company wants me to pay?,1718,27,0.8423084020614624
Can I deduct equipment that I'm required to purchase by my employer?,1719,18,0.921827495098114
"For a single company listed in multiple exchanges in different countries, are the shares being offered the same?",1720,17,0.3517327606678009
Is there any instrument with real-estate-like returns?,1721,18,0.8552560806274414
"What does “Settling your Debt” entail, and how does it compare to other options?",1722,26,0.5591853260993958
"Stocks taxed just for selling, or just when withdrawing?",1723,25,0.5864572525024414
Mexican Index Mutual Funds,1724,19,0.9218248128890991
What would the broker do about this naked call option?,1725,4,0.37512853741645813
Simple loan with a mortage as collateral,1726,27,0.9218221306800842
Why do employer contributions count against HSA limits? ,1727,18,0.5873603820800781
Why should we expect stocks to go up in the long term?,1728,17,0.8984948992729187
2008-2009 Stock Market Crash — what caused the second drop?,1729,25,0.9464423060417175
Accounting equation: does income really decrease equity?,1730,1,0.3858906030654907
Am I putting myself at any security risks by putting all my money in one bank institution?,1731,4,0.3494858145713806
UK Ltd taxation on stocks/bonds income and real estate rent income,1732,18,0.3771801292896271
Can anyone else make an online payment for me?,1733,22,0.49816417694091797
Splitting Hackathon Prize Money to minimize tax debt,1734,13,0.41526809334754944
RRP/list price/retail price and cars?,1735,29,0.5012624859809875
What's a good free checking account? ,1736,22,0.4456825256347656
"In India, what is the difference between Dividend and Growth mutual fund types?",1737,1,0.4703226089477539
Does my net paycheck decrease as the year goes on due to tax brackets filling up?,1738,18,0.7090988159179688
Can I open a Solo 401(k) if I am an independent contractor but also work part-time as an employee?,1739,22,0.5220643877983093
How can I cash out a check internationally?,1740,27,0.8984732031822205
"I have around 60K $. Thinking about investing in Oil, how to proceed?",1741,1,0.6595515608787537
Question about ex-dividend date timing,1742,1,0.9218245148658752
Can a company donate to a non-profit to pay for services arranged for before hand?,1743,17,0.3264448046684265
Can I work with two or more mortgage brokers at the same time?,1744,7,0.2367512732744217
How to find a reputable company to help sell a timeshare?,1745,26,0.5790401697158813
Is Amazon's offer of a $50 gift card a scam?,1746,20,0.4472965598106384
Where can I find historical ratios of international stock indexes? ,1747,19,0.353678822517395
What do brokerage firms do?,1748,22,0.8553120493888855
No transaction fee ETF trades - what's the catch?,1749,0,0.02857142873108387
Is there a NY tax form to use when one is missing a K-1 (or 1065) from an LLC?,1750,18,0.6165913939476013
question regarding W4,1751,1,0.8552671074867249
Increase or decrease amount to be withheld each pay period?,1752,1,0.5382853150367737
Does working in finance firms improve a person's finance knowledge?,1753,15,0.6943592429161072
"Over the long term, why invest in bonds?",1754,7,0.4300606846809387
"What does “interest rates”, without any further context, generically refer to?",1755,34,0.9218096137046814
Can I transfer my investment property into a SMSF?,1756,14,0.6778513789176941
Is it a good strategy to +cash out refi every six months?,1757,26,0.23751398921012878
How Often Should I Chase a Credit Card Signup Bonus?,1758,20,0.9364320039749146
How can I get free or discounted checks for my bank account?,1759,22,0.538926899433136
Merits of buying apartment houses and renting them,1760,7,0.9364364743232727
1000 pound to invest,1761,21,0.7481083273887634
Clear example of credit card balance 55 days interest-free “trick”?,1762,20,0.5676056146621704
Can a recruiting agency demand information to file an I-9 before I have a job?,1763,8,0.7685229182243347
Add $5000 to existing retirement account,1764,22,0.6081032752990723
May I claim money earned but not received in 2012,1765,22,0.5092443823814392
How does giving to charity work?,1766,22,0.5749064087867737
Is the address on 1040 and MD resident 502 my previous address in 2013 or my current address?,1767,28,0.8091073036193848
Where should a young student put their money?,1768,22,0.4510340094566345
Why can I refinance my recent car loan at a lower rate than I had received originally?,1769,27,0.564914345741272
Can I change my loan term from 60 to 36 months?,1770,27,0.2412906289100647
What percent of your portfolio should be in a money market account?,1771,25,0.4993359446525574
Does a failed chargeback affect my credit score?,1772,20,0.9364330172538757
How should I file my taxes as a contractor?,1773,22,0.8984920382499695
Should I file a change of address with the IRS?,1774,29,0.48014894127845764
Is it worth working at home to earn money? Can I earn more money working at home?,1775,22,0.6488243937492371
Why do some symbols not have an Options chain for specific expiration dates?,1776,26,0.6316938400268555
Can I deduct “Non-Reimbursable Expenses”?,1777,18,0.5768800973892212
"File Taxes: US Expat, now married to foreign national",1778,22,0.9464403986930847
Can I estimate other people's credit limit at the grocery store?,1779,20,0.6526033282279968
Can housing prices rise faster than incomes in the long run? ,1780,18,0.5477341413497925
Would you withdraw your money from your bank if you thought it was going under?,1781,17,0.6549941301345825
Why don't institutions share stock recommendations like Wall Street analysts?,1782,25,0.6674313545227051
My landlord is being foreclosed on. Should I confront him?,1783,0,0.02857142873108387
income tax for purchased/sold short term & long term shares,1784,17,0.3798941373825073
US Banks offering Security Tokens in 2012 ,1785,8,0.38259705901145935
Should I give to charity by check or credit card?,1786,20,0.7043073773384094
What evidence or research suggests that mid- or small-capitalization stocks should perform better than large caps?,1787,25,0.9700355529785156
Diagnostic Questions to Determine if Renter intends to pay,1788,27,0.34753522276878357
Warren and it's investments [duplicate],1789,12,0.7481467723846436
"Where should my money go next: savings, investments, retirement, or my mortgage?",1790,14,0.20741258561611176
Details on opening a small corporation in ontario,1791,22,0.9364261627197266
I'm 18. How to build good monthly income at my 20's?,1792,18,0.5499016642570496
Pay online: credit card or debit card?,1793,20,0.6436049342155457
What are the best software tools for personal finance?,1794,0,0.3443983495235443
Postbank (Germany) - transferring money to the US - what are the best options?,1795,26,0.4644879400730133
What is the next step to collect money after a judgment has been ignored?,1796,22,0.9364180564880371
What reason would a person have to use checks in stores?,1797,27,0.9464520215988159
High-risk investing is better for the young? Why?,1798,1,0.4845099151134491
What debts are both partners liable for in a 'community property' state?,1799,14,0.6761096715927124
Do personal checks expire? [US],1800,27,0.38094550371170044
Why do UK banks require monthly “pay in” into current account?,1801,22,0.8233423829078674
How to properly do background check for future tenant in my own house?,1802,7,0.5218967795372009
Is it possible to quantify the probability of sudden big movements for a high-volume stock?,1803,25,0.8202900886535645
What happens if the term insurance company closes?,1804,17,0.5790327787399292
renter's insurance for causing property damage,1805,14,0.5089171528816223
How do you write a check with cents?,1806,27,0.8984894156455994
W-4 and withholding taxes for self-employed spouse,1807,22,0.9217954277992249
Is equity research from large banks reliable?,1808,0,0.4752320945262909
How to prevent myself from buying things I don't want,1809,27,0.5603413581848145
what is the likely reason that the bank have a different year end than the other companies,1810,27,0.6016132831573486
Is leveraging notoriety to raise stock prices illegal in the US?,1811,29,0.9464349150657654
How do I explain why debt on debt is bad to my brother?,1812,13,0.9364304542541504
Would parking at a parking lot near or in my residence prevent me from paying for it with my transit FSA?,1813,27,0.963624894618988
Do property taxes get deducted 100% from the Annual Tax Return or only a fraction of them?,1814,18,0.5673550963401794
Few questions related to Balance sheet and Income Statement? ,1815,18,0.6803793907165527
international student tax deduction while trading,1816,18,0.6035171747207642
Unmarried Couple Splitting up with Joint Ownership of Home ,1817,27,0.7275975942611694
What does a CFP do?,1818,0,0.02857142873108387
"Is legal sending dollars to someone in Mexico, and sending them back for profit?",1819,28,0.3920462429523468
Should I prioritize retirement savings inside of my HSA?,1820,2,0.60809725522995
"High credit utilization, some high interest - but credit score not overly bad. How to attack debt in this situation?",1821,20,0.5241647362709045
Meanings of “price of the derivative”,1822,6,0.8552732467651367
Super-generic mutual fund type,1823,15,0.8552705645561218
Should I collect receipts after paying with a card?,1824,20,0.6196277737617493
Should I exchange my Scottish pounds for English ones? ,1825,21,0.855271577835083
Cheapest USD to GBP transfer ,1826,22,0.5949401259422302
Contributing factors to historical increase in trading volume,1827,25,0.44659650325775146
Do mutual fund companies deliberately “censor” their portfolios/funds?,1828,19,0.5166313648223877
"Is it accurate to say that if I was to trade something, my probability of success can't be worse than random?",1829,22,0.9537148475646973
Self assessment expenses - billing date or payment date?,1830,4,0.5263004302978516
Why is a stock that pays a dividend preferrable to one that doesn't?,1831,1,0.3751745820045471
Work on the side for my wife's company,1832,22,0.6701893210411072
Comparing/reviewing personal health insurance plans for the self-employed,1833,0,0.595585823059082
what are the benefits of setting up an education trust fund for children?,1834,32,0.6969609260559082
devastated with our retirement money that we have left,1835,22,0.5708240866661072
Can rent be added to your salary when applying for a mortgage?,1836,7,0.5861941576004028
Effect on Bond asset allocation if Equity markets crash?,1837,7,0.36286187171936035
Estate taxes and the top 1 percent by net worth,1838,22,0.936403751373291
"Strategies for putting away money for a child's future (college, etc.)?",1839,22,0.474362850189209
What are my chances at getting a mortgage with Terrible credit but High income,1840,5,0.3795458972454071
"Saving for a down payment on a new house, a few years out. Where do we put our money next?",1841,27,0.4200066924095154
Does investing in a company support it?,1842,17,0.8985013365745544
Why buy insurance?,1843,25,0.4312036335468292
What investments are positively related to the housing market decline?,1844,11,0.48602327704429626
Deduct Health Care Premiums for Family When Employer Only Pays for Me,1845,18,0.5181139707565308
